text,label
"me too and any yankee stadium gifs as well please thanx in advance ,",0
so that s what happened to denny mclain sad for those of you who are interested another baseball pariah pete rose has a weekday radio show on the sports and entertainment national radio network i think it s qqq qqq pm locally qqq qqq pm on the east coast and actually his on air monologues about the baseball business sounds a lot more reasonable and articulate than what i hear from the ray knights of the world greg mockingbird franklin interracial mixing encompasses a lot lot more qqq than mingling between qqq races robohen,0
i recently bought a pack of prospect hockey cards which had various players that were coming into the nhl i got this particular card of a russian named viktor kozlov it says many scouts believe he will be the qqq pick in qqq another guy is quoted as saying he s as good as mario lemieux anyone know who this guy is ?,1
was n t there an qqq new york at cleveland game in the late qqq s ?,0
what did happen to the swiss team last year they reached the semi final and now after qqq matches no points and even no goals after the qqq against italy it seems they lost any hope and were overrun qqq by the russian team now it seems that they have to work hard not to be relegated to the b level does anybody know if this wc is the qualification tournement for the olympic games qqq in lillehammer or are some teams already qualified for them .,1
qqq world championships in germany group a standings munich group b standings dortmund gp w t l gf ga p gp w t l gf ga p canada qqq qqq qqq qqq qqq qqq qqq qqq czech republic qqq qqq qqq qqq qqq qqq qqq qqq russia qqq qqq qqq qqq qqq qqq qqq qqq finland qqq qqq qqq qqq qqq qqq qqq qqq sweden qqq qqq qqq qqq qqq qqq qqq qqq usa qqq qqq qqq qqq qqq qqq qqq qqq italy qqq qqq qqq qqq qqq qqq qqq qqq germany qqq qqq qqq qqq qqq qqq qqq qqq switzerland qqq qqq qqq qqq qqq qqq qqq qqq france qqq qqq qqq qqq qqq qqq qqq qqq austria qqq qqq qqq qqq qqq qqq qqq qqq norway qqq qqq qqq qqq qqq qqq qqq qqq april qqq italy russia qqq qqq norway germany qqq qqq sweden austria qqq qqq usa czech republic qqq qqq april qqq canada switzerland qqq qqq russia austria qqq qqq finland france qqq qqq april qqq sweden canada qqq qqq czech republic germany qqq qqq switzerland italy qqq qqq finland usa qqq qqq april qqq germany france qqq qqq italy sweden qqq qqq czech republic norway qqq qqq april qqq switzerland russia qqq qqq usa france qqq qqq austria canada qqq qqq norway finland qqq qqq april qqq switzerland austria germany finland qqq april qqq russia sweden czech republic france qqq canada italy usa norway qqq april qqq sweden switzerland finland czech republic qqq russia canada germany usa qqq april qqq austria italy france norway qqq playoffs april qqq quarterfinals a qqq b qqq qqq a qqq b qqq qqq april qqq quarterfinals a qqq b qqq qqq a qqq b qqq qqq april qqq relegation a qqq b qqq qqq a qqq b qqq qqq april qqq semifinals a qqq b qqq a qqq b qqq qqq a qqq b qqq a qqq b qqq qqq may qqq relegation qqq bronze medal game qqq may qqq final qqq,1
amazingly pitchers no matter how good their mechanics are not machines cy young winners do n t pitch in a vaccuum unaware of how their offenses are doing the braves pitching staff is already showing signs of cracking under the strain of knowing they re not going to get many if any runs unfortunately the braves pitchers were so bad for so long that the organization put so much stress and i mean stress on pitching that they completely ignored hitting the braves right now are looking woefully similar to the braves of the mid seventies heaven help us .,0
well i m a wings fan and i think the first thing that you should do is to get the opponent s line combinations correct before you try to match up anyone with them there is no yzerman fedorov probert line except for maybe on a powerplay these three players usually play on three different lines which would mean that toronto s checking line would have to pull a triple shift the wings lines usually look like this gallant yzerman ciccarelli kozlov fedorov drake kennedy burr probert ysebaert primeau sheppard oh by the way start praying ),1
actually gaetti s first year with california was qqq his qqq da was n t out of line with his career averages and his qqq was actually below average in qqq but check out the last three years at the metrodome qqq gaetti qqq al avg qqq qqq pags qqq leius qqq al avg qqq qqq leius qqq al avg qqq for the last three years the highest das in either league have been posted by minnesota players three different ones including one pags who was mediocre to horrible elsewhere that does n t prove a park effect is at work any more than san diego s horrible infield numbers prove a park effect is at work but it looks like a strong possibility to me lots and it might even be a nice play to thrid base dale j stephenson steph cs uiuc edu baseball fanatic,0
how long can the leafs play short handed and still be expected to score they did some fine penely killing in the first qqq men down for a couple of minutes at one point but they just could n t keep it up they spent virtually the entire game either short handed or just coming off a penelty as soon as they d get re grouped they re penalized again sheesh like gilmour said after the qqq you ca n t go calling every little push an shove in a game like that and if you re going to you have to do it for both teams pearson one of my four favorite leafs played like a bonehead i saw him personally screw up at least qqq good scoring opportunities and then he got that bonehead qqq major high sticking penalty cullen has gotten stronger since his return from injury a hand full of games ago and he played a good game if the other players on his line can smarten up that line should do okay clark s got to get tough he s got to intimidate and go for the net send clark up the left wing over the blue line a couple times his patented wrist shot will put some numbers on the board and pearson heck maybe he should be benched i hate to repeat grapes but where the heck was foligno zezel ca n t do all the checking himself and get macllwain on the move we need some speed out there keep potvin in net he did okay considering although like i said a couple weeks ago potvin messed up in a couple games in the ahl playoffs last year he can easily do it again my prediction last week was toronto in qqq that the games det wins will be blow outs and the game tor wins will be close i still stand by that do n t fret leafs fans in order to win in qqq the other team has to win qqq burns is going to make some magic he ll mix up some lines match the wings line per line he ll have his team checking hard and he ll never let them get out numbered in their own end the leafs will win wednesday night and will take qqq or their home games probably the first one .,1
well no although i admit that s more exciting than a rat killer dale j stephenson steph cs uiuc edu baseball fanatic,0
depends on what you mean by for a living qqq was the year he led the league in pinch hit at bats with qqq but he d been getting a lot of ph abs earlier than that and was never a full time player qqq qqq ph abs early in his career qqq qqq a year just before going to the dodgers and qqq qqq in the peak years we re talking about a guy with a qqq career as an outfielder a qqq career batting average and qqq or so career hits .,0
while i will first congratulate the blues for their victory i think it must be realized that the primary reason the blues were able to win was curtis joseph when a goalkeeper gets hot there is little an opposing team can do joseph should be given the entire city of st louis because otherwise there would probably be a game qqq scheduled as for the game on sunday the blues caught a few breaks without a doubt one was the referee constantly watching the blackhawks looking for reasons to give them penalties second the blues first goal resulted because the puck hit the linesman as the blackhawks attempted to clear no linesman no shot for brett i can redirect anything hull to redirect on another of st louis goals belfour was tripped from behind as he went to make the save by someone who did n t belong in the crease which means it was a st louis player finally the overtime goal was caused because someone kept belfour from getting back to the crease no goalie no way to stop the shot i congratulate st louis for beating the hawks it will be a shame to see bryan murray finally advance to the campbell conference finals because joseph wo n t be able to stop the powerful red wing attack _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,1
there are very few disciplines where qqq certainty is necessary to state something as fact baseball is not one of them therefore i can say that i know clemens was better than morris last year and larkin was better than griffin no i ca n t ascertain this i ca n t prove it but i m not required to do so and since you obviously feel that such threads are meaningless why do n t you simply stay out of them ?,0
the subject line says it all is it terribly difficult to get tickets to penguins games especially now that they are in the playoffs would it be easy to find scalpers outside of the igloo selling tickets ?,1
make sure to take the sutcliff fisk ect factor into account .,0
i m no kingman fan just thought i d point out that he s the only player in history to have five three hr games joe carter has four eddie murray three mccovey and gehrig also three ruth mays foxx and dawson two each i do n t think reggie s ws game counts else i believe he would also have had two the beastmaster,0
hi gang i d like to subscribe to the white sox mailing list if one exists can someone please e mail me the address thanks alot john,0
have the rules for goalies equipment changed it seems that e g glove has become bigger and bigger all the time and pads too and the goalies are wearing over size jerseys am i dreaming if you watch old photos or films let say about ten years back i think the difference is quite obvious who is an expert on this please let me know or have the goalies become bigger ),1
i saw messier and leetch shooting at a camera on letterman i could have been any show though since i watch none of those late night shows very regularly john santore philadelphia flyers in qqq _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ we break the surface tension _ _ _ _ _ _ _ _ _ _ _ _ _ with our wild kinetic dreams rush grand designs _ _ _ _ _ _ _ _ _ _ go philadelphia flyers _ _ _ _ _ _ _ _ _ _ _ _ john santore jsbh andrew cmu edu _ _ _ _ _ _ _ _ /,1
sorry i still do n t buy it you re certainly right that the runner is not out merely for running out of the baseline he must interfere with the play but the argument here is over what constitutes interference you certainly can not infer from what you ve quoted that the batter runner must be hit by the ball to be guilty of interference you have n t posted a definition of interference at all imo this calls for one of the approved ruling s that go in small print in the rulebook something like approved ruling if in the judgement of the umpire the runner by running to the left of the allowed path caused the fielder to make a bad throw blocks the vision of the fielder receiving the throw or otherwise impedes the defensive team s making a play on him the batter runner shall be judeged guilty of interference or approved ruling the runner can not be judged guilty of interference in the unless he makes contact with a fielder or is hit by the thrown ball in the absence of such an approved ruling i claim that this is a poor rules trivia question since it can not be authoritatively answered .,0
okay i m curious why are you expectin the commissioner to fly in and stand on the pitchers mound to yell at the fans to sit down or what ?,0
some comments deleted for bandwidth god knows we need it ok roger here s a question for you say you are running an expansion team you do n t have a team at the moment but the draft is coming up who are you going to pick guys who have won the most ws rings or guys who could contribute the most to your team say the reds were dumb enough to not protect larkin and the jays did n t protect alfredo who would you pick i ca n t believe i m getting involved in this john,0
well druce pretty much sucked when he was with the caps he had one good playoffs not season oh well the caps are notorious for making stupid trades anyway as can be seen with the cicarelli and hrivnak trades sigh in another note i d have to say the caps biggest surprise was cote as many caps fans had been expecting a lot from bondra already .,1
ottawa picks first because they had fewer wins during the season the first tiebreaker keith keller let s go rangers let s go quakers kkeller mail sas upenn edu ivy league champs !,1
after reading some of the reports of possible nhl moves to milwaukee or that milwaukee should have an nhl team i thought i d pass along a story i heard recently this is second hand so i do n t know how true it is but i have no reason to doubt it either bradley center in milwaukee is home to the milwaukee admirals minor leauge hockey team the owner of the admirals sorry i ca n t remember his name either owns or at least shelled out the majority of the funds to build the bradley center supposedly he was approached by the nhl about an expansion franchise but turned it down because he thought the franchise fee of qqq million was too high like i said i do n t know whether this story is true or just a rumor but if it s true do n t look for an nhl team in milwaukee anytime soon the admirals are n t going to be forced out of the building and you wo n t see an nhl club and a minor league club in the same building especially since the nba s milwaukee bucks play there as well .,1
should n t this read braves hitters are at the aaa club dale j stephenson steph cs uiuc edu baseball fanatic,0
first game first at bat .,0
so all us hockey automobile racing fans all know exactly where we stand espn delays the martinsville race by a day for the nfl draft espn shows baseball instead of the overtime of a nhl playoff game gimme a break guys does anyone know why this race is tape delay especially until monday is this the weekend for the nfl draft if so postponing the race for a day is a real slap in the face for racing fans i m afraid you re right as usual as i recall they ve been doing this ever since they started covering the draft live i wish they could work out some kind of a deal with somebody else such as tnn to get the race on live but i guess espn is n t much into sharing it also clarifies where auto racing stands on their priority list as if we did n t already know -,1
the royals are darkness they are the void of our time when they play shame descends upon the land like a cold front from canada they are a humiliation to all who have lived and all who shall ever live they are utterly and completely doomed other than that i guess they re ok -,0
well i agree that if you re going to stand in front of the net that you should expect to get hit and hacked at in general you should expect to finish the game with some bruises however there is a fine line between hacking at a guy causing some pain and discomfort and blatantly attempting to injure another player felix potvin imo crossed that line on wednesday that two hander on ciccarelli was way out of line i lost a lot of respect for potvin because of that it showed an immaturity he did not slash at ciccarelli to simply try to remove him from the slot area a legal position for dino to be in instead he slashed in an attempt to injure it was out of shear frustration as a leaf supporter just a supporter i m not a leaf fan really i was very disappointed you re right in mentioning billy smith and ron hextall at least in his philly days they both crossed that same line at times and for that reason many fans and players disliked them that s why their names always comes up as examples when we talk about these issues let s hope that felix does n t do that again i d hate to see anyone even dino although i admit i do n t like him very much get seriously hurt from such careless but intentional use of the stick .,1
good question it s my impression not backed by evidence that general south of the borderness seems to exempt one from the hiring firing effect i was talking about back in the qqq s there were some attempts to hire black cuban ballplayers they were rejected by the commissioner and others well what did i mean to say aside from some short lived exceptions such as japanese internment in ww ii only blacks were affected by laws regarding slavery jim crow miscegenation military service etc if my claim of exclusivity is not qqq airtight that is if you can come up with this or that exception fine have a cookie but compared to this list no other racial group put up with a legal onslaught worth discussing at length .,0
kevin mitchell s sacrifice fly in the eighth off brett saberhagen plated pitch runner cesar hernandez to give the reds a qqq qqq come from behind victory over new york hernandez ran for pinch hitter cecil espy who got the inning started with a solid single to right moved to second on bob kelly s infield sneaker down the third base line and to third on jeff branson s well placed bunt a rare show of excellent execution by the recently hapless reds offense cincinnati trailed qqq qqq after starter tim pugh blinked in the fifth he had only given up one hit in the first four innings a fourth inning lead off double by vince coleman coleman was left stranded at third by bobby bonilla after joe orselak popped to short orselak was pinch hitting for eddie murray who argued plate umpire kellogg s inside strike by drawing the line really he should know better than that murray and later manager jeff torborg ended up getting tossed the mets fifth started with a howard johnson s first pitch homer pugh must have been slightly shaken as he was popped on the next pitch by jeff kent s single then a ryan thompson liner to left was surprise misplayed by mitchell and turned into a rbi triple catcher hundley s grounder to the drawn in branson failed to bring thompson in then the play of the game occured saberhagen was due up so reds pitching coach larry rothschild met with the infield to discuss the possibility of a suicide squeeze they called it perfectly thompson was hung out to dry after pugh s first pitch pitch out and the threat ended is n t the national league great the reds picked up qqq runs in the seventh to knot up the game after barry larkin s ground out mitchell chris sabo and randy milligan got back to back to back singles the third scoring mitchell reggie sanders then plated sabo with a long fly to center a double by oliver might have scored runner dan wilson but third base coach dave bristol threw up the stop sign too late wilson himself was hung out to dry killing the reds rally rob dibble came on in the ninth and pitched shakily with two outs and a runner on second bonilla came to the plate and all i could think of was the sunday game in late august last year when bonilla s three run dinger slapped a loss on dibble and spelled the beginning of the end for cinci s season bonilla ended up walking and hojo flied out to left to give the reds their first win in a week and earned dibble his third save in as many opportunities the win went to steve foster qqq qqq who got in what must be an ego boosting two perfect innings work striking out three saberhagen qqq qqq got the loss though i m a bit surprised he even pitched in the eighth i ll take it though the reds are now qqq qqq still the worst team in baseball with the royals victory today the mets are qqq qqq the line new york mets ab r h k bb lo coleman lf qqq qqq qqq qqq qqq qqq fernandez ss qqq qqq qqq qqq qqq qqq murray qqq qqq qqq qqq qqq qqq qqq orselak ph rf qqq qqq qqq qqq qqq qqq bonilla qqq qqq qqq qqq qqq qqq qqq johnson qqq qqq qqq qqq qqq qqq qqq kent qqq qqq qqq qqq qqq qqq qqq thompson cf qqq qqq qqq qqq qqq qqq hundley c qqq qqq qqq qqq qqq qqq saberhagen p qqq qqq qqq qqq qqq qqq totals qqq qqq qqq qqq qqq qqq hr johnson off pugh leading off fifth qqq qqq pitch qqq thompson off pugh in fifth qqq out qqq rbi picked off qqq coleman off pugh in fourth qqq out qqq on stranded at third rbi johnson thompson cincinnati reds ab r h k bb lo kelly cf qqq qqq qqq qqq qqq qqq branson qqq qqq qqq qqq qqq qqq qqq larkin ss qqq qqq qqq qqq qqq qqq mitchell lf qqq qqq qqq qqq qqq qqq dibble p qqq qqq qqq qqq qqq qqq sabo qqq qqq qqq qqq qqq qqq qqq milligan qqq qqq qqq qqq qqq qqq qqq wilson pr c qqq qqq qqq qqq qqq qqq sanders rf qqq qqq qqq qqq qqq qqq oliver qqq qqq qqq qqq qqq qqq qqq pugh p qqq qqq qqq qqq qqq qqq roberts ph qqq qqq qqq qqq qqq qqq foster p qqq qqq qqq qqq qqq qqq espy ph qqq qqq qqq qqq qqq qqq hernandez pr lf qqq qqq qqq qqq qqq qqq totals qqq qqq qqq qqq qqq qqq oliver was stranded in the seventh after his double when wilson was run down qqq oliver off saberhagen qqq out runner on first stranded rbi milligan sanders and mitchell sac branson sf sanders and mitchell ibb larkin gdp larkin new york qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq qqq cincinnati qqq qqq qqq qqq qqq qqq qqq qqq x qqq qqq qqq pitching ip r er h k bb new york saberhagen l qqq qqq qqq qqq qqq qqq qqq qqq cincinnati pugh qqq qqq qqq qqq qqq qqq foster w qqq qqq qqq qqq qqq qqq qqq qqq dibble s qqq qqq qqq qqq qqq qqq qqq pb wilson ejected murray torborg umps kellogg relliford runge demuth attendance qqq t qqq coming up the reds travel to pittsburgh for three then continue on into chicago for three next game is tuesday at qqq expected to pitch are belcher qqq qqq vs tomlin qqq qqq .,0
but it is subject to all kinds of bias and is almost completely useless for first basemen from the raw stats there is no way to tell which of a first baseman s putouts were made on throws from other fielders and which were made on his own plays likewise you ca n t tell whether a double play was qqq qqq qqq or qqq qqq qqq fielding runs thus gives a first baseman no credit for putouts or double plays only for assists and errors it thus favors first basemen who play deep reaching a lot of balls but forcing the pitcher to cover first more frequently it also hurts first baseman who play behind left handed pitching staffs and thus face few left handed batters this is better of course it still is n t all of a first baseman s defense defensive average which uses larger and probably better zones has mattingly tied for second in the league while qqq batting runs is good it is mostly in the past the runs he produced in qqq do n t say much about his value in qqq .,0
so that is the reason why the toronto blue jays should keep alfredo griffin just because it worked a team winning does n t mean that everything that it s doing is right a team not winning does n t mean that everything that it s doing is wrong or otherwise to borrow the sharks situation you would say that george kingston should be fired by then it s too late the problem with not fixing something while it s working is that by then there may not be anything left to fix so the blue jays were simply perfect last year there was nothing that they could have done to have improved that team not .,0
it depends if you can get your old veterans cheap and if they can perform at a higher level than your young talent can now why not the talent develop in the minors while giving the fans some familiar names to cheer if the veterans are gone in a year or two that should be just about right open question which was more important to the expansion clubs the expansion draft or the regular draft they ve had one of each i think dale j stephenson steph cs uiuc edu baseball fanatic,0
uhhhh there are only three l s .,0
"ten years ago the number of europeans in the nhl was roughly a quarter of what it is now going into the qqq season the numbers of euros on nhl teams have escalated to the following stats canadians qqq americans qqq europeans qqq please note that these numbers are rounded off and taken from the top qqq players on each of the qqq teams my source is the vancouver sun here s the point there are far too many europeans in the nhl i am sick of watching a game between an american and a canadian team let s say the red wings and the canucks and seeing names like bure konstantinov and borshevshky is this north america or is n t it toronto detriot quebec and edmonton are particularly annoying but the numbers of euros on other teams is getting worse as well i live in vancouver and if i hear one more word about pavel bure the russian rocket i will completely throw up as it is now every time i see the canucks play i keep hoping someone will cross check bure into the plexiglassso hard they have to carry him out on a stretcher by the way i m not a canucks fan to begin with okay the stretcher remark was a little carried away but the point is that i resent nhl owners drafting all these europeans instead of canadians and some americans it denies young canadians the opportunity to play in their north american league and instead gives it to europeans who are n t even better hockey players it s all hype this european mystique is sickening but until nhl owners get over it canadian and american players will continue to have to fight harder to get drafted into their own league with the numbers of euros in the nhl escalating the problem is clearly only getting worse i m all for the creation of a european hockey league and let the bures and selannes of the world play on their own continent i just do n t want them on mine richard j rauser you have no idea what you re doing rauser sfu ca oh do n t worry about that we re professional wni outlaws we do this for a living """,1
i d be willing to make two wagers qqq snow does n t win roy qqq mattingly is out of baseball within five years i m skeptical of the first because i do n t think snow is that good a player and he is on a losing team i m skeptical of the second because of his back mattingly is qqq this year and how many players play until they are qqq not too many and most of them did n t have chronic back problems when they were qqq could be wrong on either or both but i think that s the smart way to bet .,0
the ottwawa senators fired mel bridgman at qqq pm today randy sexton is gon na replace him .,1
once again the rockies bullpen fell apart andy ashby pitched six somewhat shaky innings giving up just one run then game the dreaded relief three picthers combined to give up qqq runs one each i believe in the qqq inning and blew the save opportunity final was qqq qqq vs expos despite their problems in the pen i think the rockies are a team that wo nt be taken lightly going into today s game the had the league s leading hitter and rbi man galarraga two of the leaders in stolen bases young and cole and increasingly strong starting pitching david rex wood davewood cs colorado edu university of colorado at boulder,0
attention penguins fans once again apparently qqq of you understand that this was just a joke hence the next to it but one idiot on here does n t as he got pissed at me and sent me two hate e mails telling me that this is wrong i have no intentions of sending e mail to anyone should the pens win tonight and i really do not expect do not intend to lead any of you to send this poster e mail either it was not a serious request if you did n t know that which you probably did then do n t do it thanks .,1
well here it is nhl in the year qqq i got these from a very reliable source in a dream some years ago and although i initially thought i had just been taking too many too strong drugs now it seems the realization has really begun you can see the league has already started to move to this direction the walt disney conference anaheim mighty chipmunks franchise name to be changed after each new la kings hockey movie la flames we ve seen some of that san jose sharks san diego bruins tijuana red wings detroit s hockey team will follow its car industry dallas stars houston oilers texas rangers seattle canucks the norm green conference alabama white hawks biloxi blues tampa bay lightning miami blades helsinki jets you ve heard them starting getting used to the anthem montreal quebecois sp there will be no canada atlanta devils orlando penquins key west islanders hartford whalers the whalers will never move huh palm beach capitals now that the anahaim team is becomming real i m really beginning to believe the rest of the message i m sure the future will turn you into believers too after qqq the nhl will abandond ice rinks it s so expensive to cool down the rinks in the subtropics and the locals hardly know what ice is anyway nhl will become a roller skating hockey league that way it can create more public interest in the game when local supporteres can play the game in their back yards !,1
gaetz wo n t be back there s been rumors he was officially released right at the end of the season when his contract expired but i have n t seen confirmation it was clear from my talks with the sharks doctors that he was n t going to make it for a while and the sharks would have to sign him to a contract which given his problems competing at the ihl level this spring does n t make sense .,1
this is incorrect this year the pens had qqq games on free tv and qqq games on ppv next year they will have qqq games on free tv and qqq on a subscription basis you actually get qqq more free game than last year and there will be no more radio only games its a good deal last year everybody bitched about baldwin breaking up the team now he goes out of his way to keep the nucleus of this team together and that takes money he comes up with a creative way to generate more revenue so he can afford this team and people bitch some more everybody wants something for nothing dean -,1
the major problem with this analysis is that it ignores age even if morris were performing as well as clemens right now and were likely to this season nobody would trade clemens for morris straight up because clemens has more of his career left .,0
